種別	配置名	項	名称	分類	寸法	比	prompt
人物図版	battleborn-3	28	バトル・ボーン家／オルフィナ	IV 商業・名家	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, slight build, turned in profile to the left. This is the face of a person in their twenties. bare-headed, long hair falling past the shoulders, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
主図版	graymane	29	グレイ・メーン家	IV 商業・名家	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A timber house in a poorer city quarter, a forge chimney beyond it. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	graymane-1	29	グレイ・メーン家／エオルンド	IV 商業・名家	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, broad, heavy build, facing the viewer squarely. This is the face of a person past sixty. bare-headed, long hair falling past the shoulders, wearing a smith's leather apron. Aspect ratio 2:3 (portrait).
人物図版	graymane-2	29	グレイ・メーン家／フラルディア	IV 商業・名家	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, ordinary build, turned a quarter to the left. This is the face of a person in their fifties. bare-headed, long hair falling past the shoulders, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
人物図版	graymane-3	29	グレイ・メーン家／ヴィグナル	IV 商業・名家	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, ordinary build, head slightly bowed. This is the face of a person past seventy. bare-headed, long hair falling past the shoulders, wearing a fur mantle over the shoulders. Aspect ratio 2:3 (portrait).
主図版	ninedivines	30	九大神聖堂	V 宗教・信仰	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: The interior of a temple; nine altars along the wall, the ninth bare and empty. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	ninedivines-1	30	九大神聖堂／ルーンディル	V 宗教・信仰	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, ordinary build, facing the viewer squarely. This is the face of a person past sixty. a close cowl, no visible hair, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
人物図版	ninedivines-2	30	九大神聖堂／エリシフ	V 宗教・信仰	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, slight build, turned a quarter to the left. This is the face of a person in their twenties. a thin metal circlet, long hair falling past the shoulders, wearing a heavy wool robe. Holding a chalice, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	ninedivines-3	30	九大神聖堂／マラモール	V 宗教・信仰	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, turned in profile to the left. This is the face of a person in their forties. a close cowl, no visible hair, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
主図版	auriel	31	アーリエルの聖堂	V 宗教・信仰	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A shrine in a glacial valley, mostly buried in ice, only part of its entrance visible. No human figures at all. The absence is deliberate. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	auriel-1	31	アーリエルの聖堂／ゲルミール	V 宗教・信仰	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a tall elf with long pointed ears, ordinary build, facing the viewer squarely. This is the face of a person past seventy. a plain iron helm, no visible hair, wearing plate armour over a gambeson. Holding a bow, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	auriel-2	31	アーリエルの聖堂／ヴィルスール	V 宗教・信仰	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a tall elf with long pointed ears, slight build, head slightly bowed. This is the face of a person past seventy. a thin metal circlet, no visible hair, wearing a heavy wool robe. Holding a chalice, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	auriel-3	31	アーリエルの聖堂／巡礼者	V 宗教・信仰	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a tall elf with long pointed ears, slight build, turned in profile to the left. This is the face of a person past sixty. a deep cloth hood, no visible hair, wearing a heavy wool robe. Holding a lit candle, small, at the lower edge. Aspect ratio 2:3 (portrait).
主図版	moth	32	モスプリースト	V 宗教・信仰	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A scriptorium with its windows bricked up, lit by candles; reading desks in rows. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	moth-1	32	モスプリースト／デクスィオン	V 宗教・信仰	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, facing the viewer squarely. This is the face of a person in their fifties. a deep cloth hood, no visible hair, wearing a heavy wool robe. a leather patch over one eye. Holding a stone tablet, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	moth-2	32	モスプリースト／先任の解読僧	V 宗教・信仰	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, slight build, head slightly bowed. This is the face of a person past seventy. a deep cloth hood, no visible hair, wearing a heavy wool robe. a leather patch over one eye. Holding a rolled scroll, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	moth-3	32	モスプリースト／写字僧	V 宗教・信仰	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, turned a quarter to the left. This is the face of a person in their forties. a close cowl, no visible hair, wearing a heavy wool robe. Holding a quill pen, small, at the lower edge. Aspect ratio 2:3 (portrait).
主図版	tribunal	33	トリビュナル寺院	V 宗教・信仰	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A temple sanctuary with three altars still standing. No human figures at all. The absence is deliberate. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	tribunal-1	33	トリビュナル寺院／ヴィベク	V 宗教・信仰	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a tall elf with long pointed ears, slight build, turned a quarter to the left. This is the face of a person in their fifties. a thin metal circlet, long hair falling past the shoulders, wearing a heavy wool robe. Holding a spear, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	tribunal-2	33	トリビュナル寺院／アルマレクシア	V 宗教・信仰	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a tall elf with long pointed ears, slight build, facing the viewer squarely. This is the face of a person in their fifties. a thin metal circlet, long hair falling past the shoulders, wearing a heavy wool robe. Holding a chalice, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	tribunal-3	33	トリビュナル寺院／ソーサ・シル	V 宗教・信仰	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a tall elf with long pointed ears, slight build, head slightly bowed. This is the face of a person in their fifties. bare-headed, no visible hair, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
主図版	namira	34	ナミラ信者	VI 秘教・カルト	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A cave beneath a shrine, reached by a stair. Night. The sky is worked up with dense hatching; the ground stays light. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	namira-1	34	ナミラ信者／エオラ	VI 秘教・カルト	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, slight build, facing the viewer squarely. This is the face of a person in their fifties. a deep cloth hood, no visible hair, wearing a heavy wool robe. Holding a chalice, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	namira-2	34	ナミラ信者／会衆の一人	VI 秘教・カルト	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, turned in profile to the left. This is the face of a person in their forties. a deep cloth hood, no visible hair, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
人物図版	namira-3	34	ナミラ信者／ヴェルルス	VI 秘教・カルト	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, head slightly bowed. This is the face of a person past sixty. a close cowl, no visible hair, wearing a heavy wool robe. Holding a lit candle, small, at the lower edge. Aspect ratio 2:3 (portrait).
主図版	miraak	35	ミラークのカルト	VI 秘教・カルト	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A great stone seat on a windswept island, with heaps of quarried stone around it. Night. The sky is worked up with dense hatching; the ground stays light. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	miraak-1	35	ミラークのカルト／ミラーク	VI 秘教・カルト	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, ordinary build, facing the viewer squarely. This is the face of a person in their fifties. a horned iron helm, no visible hair, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
